key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,Search,,DOI (Screened),For search,,,,,
rayyan-1032990225,Technologies of dispossession in the blue economy: Socio-environmental impacts of seawater desalination in the Antofagasta Region of Chile,2023,,,Geographical Journal,,189,2,231-245,"Campero, C. and Bennett, N.J. and Arriagada, N.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124659005&doi=10.1111%2fgeoj.12429&partnerID=40&md5=dae79102519083fb508a28fe36fb45af,,,,"Globally, ocean-based economic development (aka the ‘the blue economy’) is increasing and continued growth is projected. The social and environmental impacts of the growth of the blue economy are a matter of some concern for local people who may experience few benefits and substantial negative impacts. One way that these impacts of the blue economy occur is through subtle or overt forms of dispossession that result from the growth of technologies and infrastructures at sea or on the land (e.g., offshore oil rigs, ships, ports, processing facilities, etc.). We focus on desalination, an understudied aspect of the blue economy that is growing exponentially. Proponents herald desalination as a sustainable solution to increase fresh water sources, while solving socio-environmental issues left behind by the overuse of natural freshwater. However, far from being a social and environmental panacea, new political and economic interests are fused to sustain this technology with impacts for both the environment and local social systems. In this paper, we review the literature and develop a framework to understand mechanisms of dispossession via the blue economy and apply it to desalination projects in the Antofagasta Region of Chile. Drawing from a review of environmental impact assessments and declarations of environmental impacts, the research analyses communities' concerns about the impacts of desalination. Our analysis revealed (1) lack of meaningful inclusion in decision-making; (2) physical displacement of communities or from areas required for livelihoods; (3) concerns about environmental effects, and related social impacts; and (4) few social or economic benefits to local people. The research concludes that desalination is a sector of the blue economy that is opening a new sphere of dispossession in the oceans. The information, practices and views in this article are those of the author(s) and do not necessarily reflect the opinion of the Royal Geographical Society (with IBG). © 2022 Royal Geographical Society (with the Institute of British Geographers).","Export Date: 03 July 2023; Cited By: 2 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: Others,negative,Tier 2 (Applications)",10.1111/geoj.12429,Antofagasta;blue economy;desalination;dispossession;ocean governance;socio-environmental impacts;Chile;economic growth;environmental impact;environmental impact assessment;governance approach;marine environment;seawater;technology adoption,,,10.1111/geoj.12429,DOI(,10.1111/geoj.12429,DOI(10.1111/geoj.12429) OR,,,,,
rayyan-1032990226,Water pollution and its Impact on the Blue Economy Initiative: A Lesson Learned from the Kenyan Coast,2023,,,Aquatic Ecosystem Health and Management,,25,4,Dec-21,"Okuku, E. and Owato, G. and Mwalugha, C. and Wanjeri, V. and Kiteresi, L. and Mwangi, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150456678&doi=10.14321%2faehm.025.04.12&partnerID=40&md5=de5f53f2ff2b0ddb457eb92af5beed5f,,,,"Water, sediment and biota samples were collected from selected locations along the Kenyan Coast. The nutrient levels in surface water were relatively elevated as a result of sewage and riverine inputs. As, Cd, Pb, Hg and Ag levels in sediment from Kilindini Harbor pose minimal threat to marine life whereas Cu, Zn and Ni in the sediment pose a moderate threat to marine life while Cr levels in the sediment may have a severe impact on marine life. The concentrations of trace metals, PCBs, and DDT in the surface sediment were lower than the ERL thus posing a low threat to marine organisms. DDD+DDE/DDT ratios were above 0.5 suggesting historical input of DDT from rivers Tana, Sabaki and Ramisi. Trace metal concentrations in biota from Mtwapa, Makupa and Tudor creeks were below the WHO permissible levels of heavy metals in fish. The study concludes that sound management of marine environment is crucial for promoting fisheries as one of the sectors of the Blue Economy. © 2023 Taylor and Francis Inc.. All rights reserved.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,fisheries,Tier 2 (Applications)",10.14321/aehm.025.04.12,anthropogenic;fisheries;seafood safety;sediment;Learning,,,10.14321/aehm.025.04.12,DOI(,10.14321/aehm.025.04.12,DOI(10.14321/aehm.025.04.12) OR,,,,,
rayyan-1032990227,Ocean Recreation and the Economic Contributions of Visitation in and around Gray’s Reef National Marine Sanctuary,2023,,,Water (Switzerland),,15,6,,"Gazal, K. and Andrew, R. and Burns, R.C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152635595&doi=10.3390%2fw15061054&partnerID=40&md5=d0b38bc3ba69acdd077c18bcbf3b6fab,,,,"Providing demonstrable and quantifiable evidence to substantiate the value of Marine Protected Areas like National Marine Sanctuaries is important for understanding their role in the blue economy, as well as gaining management and financial support for their protection. This study employs economic contribution analysis to estimate the economic contributions of ocean recreation spending of visitors to Gray’s Reef National Marine Sanctuary (GRNMS) and the coastal Georgia region. Employing economic contribution analysis is found to be more useful in influencing stakeholder decisions, and can therefore be a useful tool in providing inputs for management decisions related to marine protected areas. This study shows that visitors to coastal Georgia spent about USD 1.4 billion on ocean recreation activities in a single year. This translates to a total economic contribution of 18,950 jobs, USD 603 million labor income, USD 938 million value added, and USD 1.8 billion output. About USD 123 million of the total visitor spending can be attributed to GRNMS, contributing 1702 total jobs, USD 54 million in total labor income, USD 84 million in total value added, and USD 159 million in total output. This study highlights the importance of coastal Georgia and GRNMS as economic drivers of the region’s economy, supporting the need for continued management and investment in the Sanctuary and its resources. © 2023 by the authors.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,tourism,Tier 2 (Applications)",10.3390/w15061054,economic contribution analysis;impact analysis for planning;input–output modeling;national marine sanctuaries;visitor expenditures;Georgia;United States;Conservation;Decision making;Economic analysis;Environmental protection;Contribution analysis;Economic contribution;Economic contribution analyse;Impact analyse for planning;Impact analysis;Input-output modeling;Marine protected area;National marine sanctuaries;Visitor expenditure;coast;ecosystem management;investment;labor;marine park;recreational activity;stakeholder;Reefs;Military Personnel;Recreation,,,10.3390/w15061054,DOI(,10.3390/w15061054,DOI(10.3390/w15061054) OR,,,,,
rayyan-1032990228,The ocean and us,2023,,,The Ocean and Us,,,,1-370,"Obaidullah, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159827468&doi=10.1007%2f978-3-031-10812-9&partnerID=40&md5=1812dcfadda4c3e3524ed86f28f6daad,,,,"The Ocean and Us provides an overview of our contemporary understanding of the ocean and all the ways our lives interact with it. It is intended for everyone with an interest in our blue planet. The book brings together the expertise of over 35 ocean specialists from around the world. It explores a wide variety of themes including the importance of a healthy ocean in the fight to halt and contain climate change. It covers issues such as overfishing and pollution, as well as emerging themes such as the blue economy, marine animal welfare and how we can leverage innovation to protect the ocean. The book provides an overview of some of the world's iconic threatened and at risk ocean ecosystems, and outlines current governance structures and ocean management tools. It also discusses the important social dimensions between people and the ocean, such as ocean and human wellbeing, communities and the ocean, and who gets to participate in the ocean space. The book aims to enhance ocean literacy by making specialist concepts accessible to non-experts, with a view to empowering concerned citizens everywhere to come into action for the ocean, and pave a better way forward for humanity. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023. All rights reserved.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,Tier 1 (BE),non-targeted",10.1007/978-3-031-10812-9,Climate change;Human health;Oceans;Overfishing;Pollution,,,10.1007/978-3-031-10812-9,DOI(,10.1007/978-3-031-10812-9,DOI(10.1007/978-3-031-10812-9) OR,,,,,
rayyan-1032990229,Influences of digitalization on sustaining marine minerals: A path toward sustainable blue economy,2023,,,Ocean and Coastal Management,,239,,,"Hong Nham, N.T. and Mai Hoa, T.T. and Ha, L.T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151654937&doi=10.1016%2fj.ocecoaman.2023.106589&partnerID=40&md5=3dfba8e21d370d1d6cd25738275735b5,,,,"This study's target is to experimentally discover the influence of the digital revolution, both for the public and private industries, on the sustainable development of marine mineral resources. As part of this initiative, it aims to demonstrate its influence on the development of a sustainable blue economy. Several measures are used to measure the blue economy sustainability of European countries. These measures include value added at the factor costs of crude oil extraction; gas extraction; activities related to oil and gas production; crushed stone or rock mining, clay or kaolin mining; salt extraction; as well as supporting activities engaged in the mining and quarry operations. We also use various indicators to capture digitalization performance in both the private and public sectors. During the 2009–2020 period, the European region will benefit from digital transformation in terms of improving marine minerals sustainability. Nevertheless, this effect is likely to be more apparent over the long term. Particularly, over a longer period, some aspects of digitalization in public services do have an empirically measurable effect on any components of marine minerals. © 2023 Elsevier Ltd","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: Mining,positive,Oil and gas,Tier 2 (Applications)",10.1016/j.ocecoaman.2023.106589,Blue economy;Digital transformation;European countries;Marine mineral;Clay;Extraction;Mineral resources;Mining;Blue economies;Crude oil extraction;Crushed rock;Digital revolution;European Countries;Gas extractions;Marine minerals;Oil and gas production;Private industries;crude oil;kaolin;mining;oil production;quarry;sustainability;sustainable development;Sustainable development;Military Personnel,,,10.1016/j.ocecoaman.2023.106589,DOI(,10.1016/j.ocecoaman.2023.106589,DOI(10.1016/j.ocecoaman.2023.106589) OR,,,,,
rayyan-1032990230,The Blue Economy in the New Development Model: The Case of Morocco,2023,,,"2023 International Interdisciplinary PhD Workshop, IIPhDW 2023",,,,,"Nejjari, S. and Elyousfi, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160575960&doi=10.1109%2fIIPhDW54739.2023.10124417&partnerID=40&md5=da6123f4dabc102051e61d81704eb26d,,,,"Healthy oceans and seas not only provide jobs and food, they also support economic growth, regulate the climate and contribute to the well-being of coastal communities. The objective of our work will therefore be to first study the concept of the blue economy and its main characteristics, as well as the socio-economic/environmental role it represents on Moroccan territory; subsequently we intend to deal with the experience of Morocco as an actor involved in this strategic dynamic; which could contribute to the development of this sustainable and inclusive blue economy. The research employs the method of document analysis from the deductive and inductive perspectives. The research findings allow for a conclusion that the implementation of certain institutional reforms within the framework of the new development model, with a partnership approach will make it possible to define the contractual relations and the sharing of responsibilities, in order to be able to assess the impact of these on the strengthening of Moroccan potential and to support research and development actions which are adapted to the specificities of the different territories, and consequently to ensure the economic and social development of the country through better development of the resource and more rigorous management of its scarcity for current and future generations.  © 2023 IEEE.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: positive,Tier 1 (BE),non-targeted",10.1109/IIPhDW54739.2023.10124417,Blue economy;climate change;oceans;sustainable development;Climate models;Economic analysis;Economic and social effects;Information management;Sustainable development;Blue economies;Coastal communities;Development model;Documents analysis;Economic growths;Institutional reforms;Ocean;Socio-economics;Strategic dynamics;Well being;Climate change,,,10.1109/IIPhDW54739.2023.10124417,DOI(,10.1109/IIPhDW54739.2023.10124417,DOI(10.1109/IIPhDW54739.2023.10124417) OR,,,,,
rayyan-1032990231,"The Environmental and Economic Potential of Kelp as Blue Carbon: Case of Hakodate, Japan",2023,,,Springer Climate,,,,107-117,"Tanaka, H. and Huang, M.C. and Watanabe, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159820443&doi=10.1007%2f978-3-031-24545-9_7&partnerID=40&md5=4338e79efb4cd9081d1d811844bb6424,,,,"Kelp forests are a non-negligible blue carbon resource that has gained global attention as an ocean carbon source. In addition to the role of carbon storage, kelp forests have certain economic impact in Japan for a long time. However, the environmental and economic effects of kelp forests are not yet clear. Therefore, this chapter introduces the environmental and economic impacts of kelp forests in Hakodate City, Hokkaido Prefecture, Japan, as a case study. The study suggests promoting cultivation of kelp from both ecological and economic aspects by financial schemes for conservation and restoration of natural kelp. © 2023, The Author(s).","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,Blue carbon,Tier 2 (Applications)",10.1007/978-3-031-24545-9_7,Blue carbon;Blue economy;Economic evaluation;Input–output analysis;Kelp;Japan,,,10.1007/978-3-031-24545-9_7,DOI(,10.1007/978-3-031-24545-9_7,DOI(10.1007/978-3-031-24545-9_7) OR,,,,,
rayyan-1032990232,Blue economy and blue carbon materials applications in various fields with respect to marine algae,2023,,,Algae Materials: Applications Benefitting Health,,,,157-165,"Sudhakar, M.P. and Arunkumar, K. and Dharani, G. and Kirubagaran, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156245826&doi=10.1016%2fB978-0-443-18816-9.00008-3&partnerID=40&md5=209a706360bec3d734a15a8b42e412fc,,,,"Emerging science and technologies and their use in various fields are immense. Carbon-containing compounds are precious on earth as blue carbon. A blue economy is emerging owing to the huge demand for material synthesis and its applications in various fields such as food, medicine, technology, and the product development sectors. Using sustainable ocean resources to benefit human needs through economic development is termed “blue economy.” Blue carbon, which is derived from the ocean’s resources, embraces socioeconomic development, which is known as blue economy. Blue carbon refers to organic carbon derived from ocean's flora, such as seagrass, seaweed, mangroves, and marshes. Marine resources generated through carbon capture and sequestration help to boost the economy. In this chapter, the blue economy and blue carbon based on marine algae are discussed and explored. Marine algae (seaweed) are macroscopic and adapted to different conditions in the marine environment. Based on carbon sequestration and the accumulation of multiple products, seaweed is considered as a blue carbon generator for the development of the blue economy. © 2023 Elsevier Inc. All rights reserved.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,Blue carbon,Tier 2 (Applications)",10.1016/B978-0-443-18816-9.00008-3,Bioproducts;Blue carbon;Blue economy;Carbon capture;Seaweed;Military Personnel,,,10.1016/B978-0-443-18816-9.00008-3,DOI(,10.1016/B978-0-443-18816-9.00008-3,DOI(10.1016/B978-0-443-18816-9.00008-3) OR,,,,,
rayyan-1032990233,Reliable control of turbine–generator set for oscillating-water-column wave energy converters: Numerical modelling and field data comparison,2023,,,Energy Conversion and Management,,282,,,"Carrelhas, A.A.D. and Gato, L.M.C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149667913&doi=10.1016%2fj.enconman.2023.116811&partnerID=40&md5=253a75f90ea93234d879ce332f23941e,,,,"Global energy strategy has quickly shifted to a new paradigm. Countries understand the importance of a near-zero carbon energy mix and the need to reduce their energy imports and become energy independent. One immediate solution is the re-enforcement of renewable energy infrastructures such as wind, solar and hydro generation. However, certain sectors, particularly the Blue Economy, may need a different solution. The oscillating-water-column (OWC) wave energy converter is a proven concept, many prototypes of which are already being deployed on the open sea, and can help bridge this gap. Energy harvesting from this system will be improved if more efficient (and reliable) power take-off (PTO) systems and control algorithms are used. A novel control algorithm for a turbine–generator set was developed based on the physical interactions between the PTO and the OWC system. The results were compared with experimental data from real operation at sea. The algorithm does not need to predict the sea state conditions in order to maximise power generation. Additionally, it protects the PTO in extremely energetic sea states and minimises overspeeding and the use of a safety valve. Comparing the operating results of the 30 kW biradial turbine–generator set at the Mutriku wave power plant with the corresponding numerical results provided by the novel control algorithm showed a 6% increase in annual electricity production. © 2023 The Author(s)","Export Date: 03 July 2023; Cited By: 4 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: Energy,neutral,Tier 2 (Applications)",10.1016/j.enconman.2023.116811,Air turbine;Field data comparison;Numerical modelling;Oscillating water column;PTO control;Wave energy;Energy harvesting;Hydroelectric generators;Hydroelectric power plants;Ocean currents;Power takeoffs;Wave energy conversion;Wave power;Wind turbines;Data comparisons;Field data;Generator sets;Power take-off control;Power take-offs;Sea state;Wave energy converters;Numerical models,,,10.1016/j.enconman.2023.116811,DOI(,10.1016/j.enconman.2023.116811,DOI(10.1016/j.enconman.2023.116811) OR,,,,,
rayyan-1032990234,"A Systematic Review: Mirror-Mirror on the Wall, What is the Relationship between Blue Economy and Community Development?",2023,,,International Journal of Sustainable Development and Planning,,18,4,991-997,"Arzaman, A.F.M. and Damaianti, I. and Shafi, S. and Aziz, N.A.A. and Jusoh, M.H. and Kadir, F.K.A. and Baharuddin, S.A. and Hashim, H.M. and Pham, L.H.H.P. and Embong, A.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158850721&doi=10.18280%2fijsdp.180401&partnerID=40&md5=0cb14aca8b3fc69c63e4d38e568020d9,,,,"The purpose of this paper is to examine the relationship between the blue economy and community development toward improving living standards and livelihoods. A systematic literature review was conducted involving a total final sample of 15 articles published during 2017-2022. Specifically, the source of the database used in this study is Scopus, and Web of Science based on a set of inclusion/exclusion criteria for analysis and synthesis to meet the purpose of the paper. This study employed the thematic analysis method for the systematic literature review. The important components in this study are coastal resources, employment and society, and policy governance in the blue economy showing the innovations that have been successfully explored in this study. The blue economy is highly dependent on the cooperation of local communities in preserving the environmental treasures in developing sustainable development for the country. The community must have the courage to venture into the field of ocean activities because it is one of the main contributors to sustainable economic growth. In addition, the stakeholders whomanage the governance of the oceans have a great impact on the change of a component to a new economic concept that can be a catalyst for economic growth. This paper seeks to contribute, analyze limited articles on the blue economy and community development toward improving living standards, and identify further research areas. © 2023 WITPress. All rights reserved.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,Tier 1 (BE),non-targeted",10.18280/ijsdp.180401,blue economy;community development;sustainable development;systematic review;catalyst;economic growth;literature review;living standard;marine policy;marine resource,,,10.18280/ijsdp.180401,DOI(,10.18280/ijsdp.180401,DOI(10.18280/ijsdp.180401) OR,,,,,
rayyan-1032990235,Business for ocean sustainability: Early responses of ocean governance in the private sector,2023,,,Ambio,,52,2,253-270,"Sardá, R. and Pogutz, S. and de Silvio, M. and Allevi, V. and Saputo, A. and Daminelli, R. and Fumagalli, F. and Totaro, L. and Rizzi, G. and Magni, G. and Pachner, J. and Perrini, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140124051&doi=10.1007%2fs13280-022-01784-2&partnerID=40&md5=2b2a510789f4113f1ff6fe2bd1de45e2,,,,"A large sample of 1664 companies—69 directly working in the ocean economy—distributed across 19 industrial sectors was investigated to explore awareness and activation regarding direct and indirect pressures on the ocean, their responses to these pressures, and the disclosure tools used. We examined their accountability and disclosure practices on sustainable development goals (SDGs) using the drivers, pressures, state, welfare, and response accounting framework. Based on their 2019 sustainability reports, just 7% of the companies assessed disclosed on SDG14. However, 51% of these companies can be considered as aware, albeit to varying degrees, of the pressures their industries place on the oceans, 44% deploy mitigating activities, and 26% are aware and actively lead business responses to ocean challenges. Although we have seen just early responses in addressing ocean challenges, companies’ awareness and activation must converge to achieve ocean sustainability and move businesses into a truly blue economy. © 2022, The Author(s).","Export Date: 03 July 2023; Cited By: 2 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,Tier 1 (BE),non-targeted",10.1007/s13280-022-01784-2,Blue economy;Corporate sustainability;DPSWR analysis;Ocean disclosure practices;Ocean sustainability;Commerce;Conservation of Natural Resources;Oceans and Seas;Private Sector;Social Responsibility;accountability;business;economic conditions;governance approach;private sector;sustainability;Sustainable Development Goal;commercial phenomena;environmental protection;sea;social responsibility,,,10.1007/s13280-022-01784-2,DOI(,10.1007/s13280-022-01784-2,DOI(10.1007/s13280-022-01784-2) OR,,,,,
rayyan-1032990236,Regulatory ecosystem services through large-scale commercial farming of Kappaphycus alvarezii: Pan-India potential estimates,2023,,,Journal of Applied Phycology,,,,,"Bhushan, S. and Veeragurunathan, V. and Kavale, M.G. and Jaiswar, S. and Mantri, V.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160665113&doi=10.1007%2fs10811-023-03001-3&partnerID=40&md5=98ba089e283ee880d3b3554fdb82c8e0,,,,"For more than a billion years, seaweeds have been a segment of marine primary productivity this fact must be contemplated while considering emerging conceptual frameworks such as the “blue economy”. This sector not only has the potential to provide renewable feedstock but its cultivation and processing ticks an important box for sustainable development. Seaweed cultivation in India is gaining momentum and great attention is being given to developing the infrastructure. A flagship program ‘Pradhan Mantri Matsya Sampada Yojana (PMMSY)’ has provided adequate budgetary allocation to achieve a production of 11.2 Mt (fresh) feedstock. However, the scheme seems to focus only on material benefits (product development) and the ecosystem services, especially regulatory services have seldom been taken into consideration. Thus, the present article tries to address the estimation of potential regulatory ecosystem services [capture carbon, uptake nutrients and heavy metals (Cr, Co, Cd)] met through Kappaphycus alvarezii farming, at the Pan-India level. The estimates were made for both tube net and raft cultivation methods separately. The farm cover was estimated to be around 700,000 ha supporting approximately 780,000 farmers for tube net, while it was 56,000 ha supporting ~ 1.25 million farmers for raft cultivation. A total number of tube nets that would be put to use would be 140 million and 56 million in the case of rafts. Once the target is achieved India would have gained the ability to annually capture approximately 600,000 t of carbon, 22,000 t of nitrogen, and 2000 t of phosphorous and absorb more than 1000 t of heavy metals cumulatively. Nevertheless, a monetary valuation of ecosystem services is needed to arrive at rational decisions by policy-makers and resource managers. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,aquaculture,Tier 2 (Applications)",10.1007/s10811-023-03001-3,Carbon capture;Ecosystem services;Heavy metal absorption;Nutrient uptake;Regulatory services;Seaweed cultivation;India;Ecosystem,,,10.1007/s10811-023-03001-3,DOI(,10.1007/s10811-023-03001-3,DOI(10.1007/s10811-023-03001-3) OR,,,,,
rayyan-1032990237,"The path of transboundary marine plastic waste management in China, Japan, and South Korea from the perspective of the blue economy",2023,,,Frontiers in Marine Science,,9,,,"Hao, H. and Jiang, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147443744&doi=10.3389%2ffmars.2022.1075667&partnerID=40&md5=a7b2424894b627f813646f992e6ff8b5,,,,"Marine plastic waste is one of the most difficult global ocean governance issues at present, and is also the focus of marine waste governance in the Yellow Sea and East China Sea region surrounded by China, Japan, and Republic of Korea (ROK). China, Japan, and Republic of Korea (ROK)are now aware of the importance of this issue to their surrounding waters and their country’s development. However,the poor implementation of marine governance gives rise to the unsatisfactory effect of marine plastic waste governance in the sea area. Based on the concept of blue economy and the data of plastic pollution in the Yellow Sea and East China Sea, this paper discusses the feasibility of establishing binding legal norms and policies to promote the progress of marine plastic waste treatment in China, Japan and Republic of Korea. By using research methods of text analysis and status survey, this paper analyzes the differences and common demands of China, Japan and Republic of Korea for marine plastic pollution control. It is concluded that three countries have common demands in the management of the whole life cycle of marine plastic pollution, the establishment of flexible legal instruments, and the participation of stakeholders. Finally, through the case experience of the blue cycle model of marine plastic waste in Taizhou, Zhejiang Province, China, this paper proposes that this model can also be used in the management of marine plastic waste in China, Japan and Republic of Korea. Three countries can gradually promote the cooperation of marine plastic waste laws and regulations by starting with the treatment of\ fishery plastic waste, and innovate the blue cycle model, so as to finally promote the conclusion of the regional marine waste treatment agreement. Copyright © 2023 Hao and Jiang.","Export Date: 03 July 2023; Cited By: 1 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,non-targeted,Tier 2 (Applications)",10.3389/fmars.2022.1075667,blue economy;fishery plastic waste;marine plastic waste;source control;Yellow Sea and East Sea;Japan;China;Military Personnel;Korea,,,10.3389/fmars.2022.1075667,DOI(,10.3389/fmars.2022.1075667,DOI(10.3389/fmars.2022.1075667) OR,,,,,
rayyan-1032990238,Contested spaces in the new blue economy: Competing for Connecticut's Thames River Working Waterfront,2023,,,Geographical Journal,,189,2,217-230,"Ebbin, S.A. and Trumbull, N.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115176185&doi=10.1111%2fgeoj.12409&partnerID=40&md5=7530977fd9f584899aa82d0b1799dd9e,,,,"Working waterfront space is limited, leading to competition for coastal space among different waterfront-dependent industries as well as non-waterfront dependent users. Coastal margins will be shrinking as sea levels rise due to climate change, squeezing already scarce port resources, exacerbating competition for these spaces, and generating conflicts. This paper focuses on the competition for waterfront space on the Thames River of Connecticut bordered by the municipalities of New London, Groton, Norwich, Ledyard, and Montville. Emerging wind power in the new Blue Economy looks to reshape port usage in the Thames River. The recent focus on wind generation by the State of Connecticut, coupled with several competitive bidding events for wind-generated electricity, has augmented demand for port space that will serve as a staging area for this offshore development. Although the development of wind power will occur offshore, Connecticut ports are anticipating port use by wind companies with winning bids. This paper explores the processes by which port space has been (re)allocated and contested, and examines the nature of the ensuing conflicts and outcomes. The information, practices and views in this article are those of the author(s) and do not necessarily reflect the opinion of the Royal Geographical Society (with IBG). © 2021 Royal Geographical Society (with the Institute of British Geographers).","Export Date: 03 July 2023; Cited By: 0 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: Energy,negative,Tier 2 (Applications)",10.1111/geoj.12409,Blue Economy;New England;offshore wind energy;port infrastructure;qualitative;working waterfronts;Connecticut;United States;alternative energy;coastal zone management;competition (economics);electricity generation;infrastructural development;offshore structure;qualitative analysis;space use;waterfront development;wind power,,,10.1111/geoj.12409,DOI(,10.1111/geoj.12409,DOI(10.1111/geoj.12409) OR,,,,,
rayyan-1032990239,Blockchain Technology to Enhance Integrated Blue Economy: A Case Study in Strengthening Sustainable Tourism on Smart Islands,2023,,,Sustainability (Switzerland),,15,6,,"Pranita, D. and Sarjana, S. and Musthofa, B.M. and Kusumastuti, H. and Rasul, M.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159098971&doi=10.3390%2fsu15065342&partnerID=40&md5=7141770945f89595bdee55db4a3c6689,,,,"Smart destinations require a management system that provides convenient real-time use of digital technology in creating, communicating, and delivering value to visitors. Research related to smart island destinations is still limited, let alone those that utilize blockchain technology to create the smartness of the destination. This research is an empirical study that captures the perceptions of stakeholders in the blue economy on smart islands and the use of blockchain technology in order to build smart islands, a destination that consists of many islands that lack connectedness, such as the Seribu Islands in Jakarta, Indonesia. Data were collected using qualitative and quantitative approaches (mixed methods). Qualitative data were collected from scientific journal publications and followed up with VOS viewer analysis, and quantitative data with the questionnaire survey responses from 150 blue economy industry players in the Seribu Islands and structural equation modeling showed that good digital literacy and blue economy management have significant influence on blockchain technology and impact smart islands. This study indicates that, for islands that have challenges in accessibility and connectivity, the presence of blockchain and smart technology is needed to integrate various resources from each stakeholder so that the blue economy in the islands can be developed more effectively and efficiently, while at the same time ensuring the achievement of sustainability. © 2023 by the authors. Licensee MDPI, Basel, Switzerland.","Export Date: 03 July 2023; Cited By: 1 | RAYYAN-INCLUSION: { Marianne => Included } | RAYYAN-LABELS: neutral,tourism,Tier 2 (Applications)",10.3390/su15065342,blockchain technology;blue economy;digital literacy;smart destination;sustainable tourism;Indonesia;Jakarta;ecotourism;island;literacy;questionnaire survey;stakeholder;tourism economics;tourist destination,,,10.3390/su15065342,DOI(,10.3390/su15065342,DOI(10.3390/su15065342) OR,,,,,
