title,doi,altmetric_jid,issns,journal,cohorts.sci,context.all.count,context.all.mean,context.all.rank,context.all.pct,context.all.higher_than,context.journal.count,context.journal.mean,context.journal.rank,context.journal.pct,context.journal.higher_than,context.similar_age_3m.count,context.similar_age_3m.mean,context.similar_age_3m.rank,context.similar_age_3m.pct,context.similar_age_3m.higher_than,context.similar_age_journal_3m.count,context.similar_age_journal_3m.mean,context.similar_age_journal_3m.rank,context.similar_age_journal_3m.pct,context.similar_age_journal_3m.higher_than,authors1,authors2,authors3,authors4,authors5,authors6,type,epubdate,altmetric_id,schema,is_oa,publisher_subjects.name1,publisher_subjects.name2,publisher_subjects.scheme1,publisher_subjects.scheme2,cited_by_posts_count,cited_by_tweeters_count,cited_by_accounts_count,last_updated,score,history.1y,history.6m,history.3m,history.1m,history.1w,history.6d,history.5d,history.4d,history.3d,history.2d,history.1d,history.at,url,added_on,published_on,scopus_subjects1,scopus_subjects2,readers.citeulike,readers.mendeley,readers.connotea,readers_count,images.small,images.medium,images.large,details_url,issns1,issns2,pubdate,publisher_subjects.name,publisher_subjects.scheme,cited_by_fbwalls_count,scopus_subjects3,scopus_subjects4,cohorts.pub,publisher_subjects.name3,publisher_subjects.scheme3,cited_by_policies_count,scopus_subjects5,scopus_subjects6,publisher_subjects.name4,publisher_subjects.name5,publisher_subjects.name6,publisher_subjects.name7,publisher_subjects.name8,publisher_subjects.scheme4,publisher_subjects.scheme5,publisher_subjects.scheme6,publisher_subjects.scheme7,publisher_subjects.scheme8,authors7,authors8,authors9,authors10,authors11,authors12,authors13,authors14,authors15,authors16,cohorts.com,cited_by_msm_count,authors,cohorts.doc,cited_by_feeds_count,authors17,authors18,authors19,authors20,authors21,authors22,authors23,authors24,authors25,authors26,scopus_subjects,publisher_subjects.name9,publisher_subjects.name10,publisher_subjects.scheme9,publisher_subjects.scheme10,handles,handle,pmid,authors27,authors28,authors29,attribution,ordinal_number,arxiv_id,ads_id,isbns,isbns1,isbns2,editors,cited_by_wikipedia_count,uri,isbns3,authors_or_editors1,authors_or_editors2,authors_or_editors3,authors30,authors31,authors32,authors33,authors34,authors35,handles1,handles2,editors1,editors2,cited_by_rdts_count,authors36,authors37,authors38,authors39,authors40,authors41,authors42,authors43,authors44,authors45,authors46,authors47,authors48,authors49,authors50,authors51,authors52,authors53,authors54,authors55,authors56,editors3,editors4,authors57,authors58,published_date,year
"The path of transboundary marine plastic waste management in China, Japan, and South Korea from the perspective of the blue economy",10.3389/fmars.2022.1075667,52fbad613cf058f70b8b4567,2296-7745,Frontiers in Marine Science,1,23197711,10.2858409478573,14190618,37,8788207,8743,13.8881640169278,4832,42,3740,328928,11.1318861513764,136351,57,188202,636,4.67706289308176,160,73,468,Huijuan Hao,Chenfan Jiang,NA,NA,NA,NA,article,1674518400,141712397,1.5.4,FALSE,NA,NA,NA,NA,5,4,4,1674648566,1.75,1.75,0,0,0,0,0,0,0,0,0,0,1.75,http://dx.doi.org/10.3389/fmars.2022.1075667,1674559343,1674518400,NA,NA,0,11,0,11,https://badges.altmetric.com/?size=64&score=2&types=tttttttt,https://badges.altmetric.com/?size=100&score=2&types=tttttttt,https://badges.altmetric.com/?size=180&score=2&types=tttttttt,https://www.altmetric.com/details.php?citation_id=141712397,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-24T00:00:00Z,2023
Contested spaces in the new blue economy: Competing for Connecticut's Thames River Working Waterfront,10.1111/geoj.12409,4f6fa4dd3cf058f610001b75,NA,Geographical Journal,NA,23940793,10.5216032855073,16196995,32,7693717,1416,6.8163615819209,1293,8,122,421641,14.9983132997015,249644,40,170427,15,21.2333333333333,14,13,2,Syma A. Ebbin,Nathaniel Trumbull,NA,NA,NA,NA,article,1632096000,113596030,1.5.4,FALSE,Physical Geography And Environmental Geoscience,Human Geography,era,era,4,2,2,1685043479,1.1,1.1,1.1,1.1,0,0,0,0,0,0,0,0,1.1,http://dx.doi.org/10.1111/geoj.12409,1631866816,1632096000,Physical Sciences,Social Sciences,0,18,0,18,https://badges.altmetric.com/?size=64&score=2&types=tttttttt,https://badges.altmetric.com/?size=100&score=2&types=tttttttt,https://badges.altmetric.com/?size=180&score=2&types=tttttttt,https://www.altmetric.com/details.php?citation_id=113596030,0016-7398,1475-4959,1685577600,NA,NA,NA,Earth and Planetary Sciences,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-20T00:00:00Z,2021
"Diversity, equity, and inclusion in the Blue Economy: Why they matter and how do we achieve them?",10.3389/fpos.2022.1067481,NA,2673-3145,Frontiers in Political Science,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ibrahim Issifu,Ilyass Dahmouni,Eric Worlanyo Deffor,U. Rashid Sumaila,NA,NA,article,1673568000,141243834,1.5.4,FALSE,NA,NA,NA,NA,30,25,25,1679411736,16.4,16.4,16.4,0,0,0,0,0,0,0,0,0,16.4,http://dx.doi.org/10.3389/fpos.2022.1067481,1673626726,1673568000,NA,NA,0,16,0,16,https://badges.altmetric.com/?size=64&score=17&types=tttttttt,https://badges.altmetric.com/?size=100&score=17&types=tttttttt,https://badges.altmetric.com/?size=180&score=17&types=tttttttt,https://www.altmetric.com/details.php?citation_id=141243834,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-13T00:00:00Z,2023
"Coastal communities, blue economy and the climate crisis: Framing just disruptions",10.1111/geoj.12419,4f6fa4dd3cf058f610001b75,NA,Geographical Journal,NA,23940793,10.5216032855073,21445966,1,0,1416,6.8163615819209,1373,1,0,507137,12.7695458308096,428044,1,0,16,17.265625,15,1,0,NA,NA,NA,NA,NA,NA,article,1637107200,116461307,1.5.4,FALSE,Physical Geography And Environmental Geoscience,Human Geography,era,era,3,1,1,1685022943,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.25,http://dx.doi.org/10.1111/geoj.12419,1636393785,1637107200,Physical Sciences,Social Sciences,0,29,0,29,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=116461307,0016-7398,1475-4959,1685577600,NA,NA,NA,Earth and Planetary Sciences,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John Morrissey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-17T00:00:00Z,2021
Research on the cooperative network game model of marine plastic waste management,10.1016/j.marpol.2023.105504,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,1,23243271,10.2938265112652,20648640,1,0,3336,13.8896732613909,3111,1,0,203540,10.769946487177,158084,1,0,77,6.23314285714286,64,1,0,Changping Zhao,Yingying Hou,Mengru Liu,Yu Gong,Junbin Wang,NA,article,NA,141970924,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,1,1,1,1675164600,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.25,http://dx.doi.org/10.1016/j.marpol.2023.105504,1675164611,1677628800,Life Sciences,Social Sciences,0,28,0,28,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=141970924,NA,NA,1677628800,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",NA,Law,era,NA,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-01T00:00:00Z,2023
"Marine plastic pollution in Morocco: state of the knowledge on origin, occurrence, fate, and management",10.1007/s11356-023-26973-8,4f6fa6043cf058f61000653d,1614-7499,Environmental Science and Pollution Research,1,23911072,10.5149806942332,15551440,34,8225931,9883,3.73413194374178,3354,65,6459,381178,12.8019835195097,201674,46,175843,357,1.55985434173669,74,78,282,Nezha Mejjad,Abdelmourhit Laissaoui,Ahmed Fekri,Ouafa El Hammoumi,NA,NA,article,1682035200,146307316,1.5.4,FALSE,Chemical Sciences,Environmental Sciences,era,era,3,3,3,1682188426,1.35,1.35,1.35,0,0,0,0,0,0,0,0,0,1.35,http://dx.doi.org/10.1007/s11356-023-26973-8,1682088424,1682035200,Physical Sciences,Environmental Science,0,12,0,12,https://badges.altmetric.com/?size=64&score=2&types=tttttttt,https://badges.altmetric.com/?size=100&score=2&types=tttttttt,https://badges.altmetric.com/?size=180&score=2&types=tttttttt,https://www.altmetric.com/details.php?citation_id=146307316,NA,NA,NA,NA,NA,NA,NA,NA,2,Biological Sciences,era,NA,NA,NA,Atmospheric Protection/Air Quality Control/Air Pollution,Ecotoxicology,Environment,"Environment, general",Environmental Chemistry,springer,springer,springer,springer,springer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Environmental Health,Waste Water Technology / Water Pollution Control / Water Management / Aquatic Pollution,springer,springer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-21T00:00:00Z,2023
Blue revitalization or dispossession? Reform of common resource management in Japanese small‐scale fisheries,10.1111/geoj.12414,4f6fa4dd3cf058f610001b75,NA,Geographical Journal,3,23940793,10.5216032855073,3480595,85,20457263,1416,6.8163615819209,186,86,1231,428548,14.5648102662933,78300,81,350200,20,14.995,5,80,16,NA,NA,NA,NA,NA,NA,article,1635120000,114707815,1.5.4,FALSE,Physical Geography And Environmental Geoscience,Human Geography,era,era,23,14,14,1685022936,9.15,0.25,0.25,0.25,0,0,0,0,0,0,0,0,9.15,http://dx.doi.org/10.1111/geoj.12414,1633681831,1635120000,Physical Sciences,Social Sciences,0,36,0,36,https://badges.altmetric.com/?size=64&score=10&types=tttttttt,https://badges.altmetric.com/?size=100&score=10&types=tttttttt,https://badges.altmetric.com/?size=180&score=10&types=tttttttt,https://www.altmetric.com/details.php?citation_id=114707815,0016-7398,1475-4959,1685577600,NA,NA,NA,Earth and Planetary Sciences,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sonja Ganseforth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-25T00:00:00Z,2021
"Impact of blue economy sectors using causality, correlation and panel data models",10.3389/fmars.2023.1034054,52fbad613cf058f70b8b4567,2296-7745,Frontiers in Marine Science,NA,23207489,10.2871058782943,18722646,11,2590204,8743,13.8932286400549,7073,5,494,328225,11.1432153126664,218587,22,73158,632,4.69215506329114,396,9,61,Rosa María Martínez-Vázquez,Juan Milán-García,Jose Ramos Pires Manso,Jaime De Pablo Valenciano,NA,NA,article,1674777600,141833140,1.5.4,FALSE,NA,NA,NA,NA,2,2,2,1674835470,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,http://dx.doi.org/10.3389/fmars.2023.1034054,1674810047,1674777600,NA,NA,0,11,0,11,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=141833140,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-27T00:00:00Z,2023
Recent Advances in Tilapia Production for Sustainable Developments in Indian Aquaculture and Its Economic Benefits,10.3390/fishes8040176,60a67631a699700007e4205b,2410-3888,Fishes,NA,23907431,10.4288440314881,21281994,1,0,520,2.24223076923077,332,1,0,415806,12.0244778959408,330736,1,0,44,1.44886363636364,28,1,0,Manikandan Arumugam,Sudharshini Jayaraman,Arun Sridhar,Vignesh Venkatasamy,Paul B. Brown,Zulhisyam Abdul Kari,article,1679616000,149207523,1.5.4,FALSE,NA,NA,NA,NA,1,1,1,1685609027,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.25,http://dx.doi.org/10.3390/fishes8040176,1685609039,1679616000,NA,NA,0,28,0,28,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=149207523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guillermo Tellez-Isaias,Thirumurugan Ramasamy,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-24T00:00:00Z,2023
Conservation ready marine spatial planning,10.1016/j.marpol.2023.105655,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,28,24192521,10.5569313442114,649841,97,23543780,3524,14.0766435868332,152,95,3373,284219,12.589586129006,9710,96,274638,58,11.4268965517241,3,96,56,Julie M. Reimer,Rodolphe Devillers,Brice Trouillet,Natalie C. Ban,Tundi Agardy,Joachim Claudet,article,NA,148330033,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,127,94,95,1689086237,60.55,60.55,60.55,60.55,3.2,0,0,0,0,0,0,0,60.55,http://dx.doi.org/10.1016/j.marpol.2023.105655,1684116072,1688169600,Life Sciences,Social Sciences,0,9,0,9,https://badges.altmetric.com/?size=64&score=61&types=tttttttf,https://badges.altmetric.com/?size=100&score=61&types=tttttttf,https://badges.altmetric.com/?size=180&score=61&types=tttttttf,https://www.altmetric.com/details.php?citation_id=148330033,NA,NA,1688169600,NA,NA,1,Environmental Science,"Economics, Econometrics and Finance",62,Law,era,NA,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-01T00:00:00Z,2023
Exploring future research and innovation directions for a sustainable blue economy,10.1016/j.marpol.2022.105433,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,NA,23383275,10.323284874606,15739528,22,5199603,3347,13.9441589483119,2702,14,474,402913,11.3220644605653,210170,36,147829,104,8.86590384615384,74,24,25,Lisa A. Pace,Ozcan Saritas,Alan Deidun,NA,NA,NA,article,NA,140012627,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,3,3,3,1671545520,1,1,0,0,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.1016/j.marpol.2022.105433,1670783472,1675209600,Life Sciences,Social Sciences,0,82,0,82,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=140012627,NA,NA,1675209600,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",3,Law,era,NA,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-01T00:00:00Z,2023
"Selling seasteading: rhetoric, accumulation, and appropriation of space in French Polynesia",10.1080/21622671.2023.2212017,5386f7942a83ee365a8b4591,NA,"Territory, Politics, Governance",1,23924883,10.5169592220091,16236285,21,5180935,386,8.73041450777202,337,6,24,216864,12.5531902667109,121098,31,69247,9,4.3,7,11,1,NA,NA,NA,NA,NA,NA,article,1686528000,150022223,1.5.4,FALSE,NA,NA,NA,NA,2,2,2,1686772994,1,1,1,1,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.1080/21622671.2023.2212017,1686772841,1686528000,NA,NA,0,0,0,0,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=150022223,2162-2671,2162-268X,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elizabeth Bennett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-12T00:00:00Z,2023
A synthesis of approaches to support integrated assessments of hazards for the emerging Blue Economy,10.1016/j.marpol.2023.105696,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,NA,23978283,10.4415809333196,16165453,22,5314853,3465,14.0197823953824,2796,14,503,9324,5.1443903903904,4835,29,2704,18,4.29722222222222,12,33,6,M.P. Turschwell,E.A. Fulton,J. Melbourne-Thomas,M. Lacharité,K.R. Hayes,G. Wood,article,NA,149773520,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,2,2,2,1686352291,1,1,1,1,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.1016/j.marpol.2023.105696,1686282257,1693526400,Life Sciences,Social Sciences,0,6,0,6,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=149773520,NA,NA,1693526400,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",2,Law,era,NA,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K. Evans,D. Hatton MacDonald,J. Dambacher,R.H. Bustamante,R. Abbassi,P. Fidelman,C.J. Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-01T00:00:00Z,2023
Enacting a just and sustainable blue economy through transdisciplinary action research,10.1111/geoj.12410,4f6fa4dd3cf058f610001b75,NA,Geographical Journal,1,23940793,10.5216032855073,4910989,79,19013574,1416,6.8163615819209,299,78,1117,421641,14.9983132997015,105978,74,315236,15,21.2333333333333,12,26,4,C. Patrick Heidkamp,Michaela Garland,Louie Krak,NA,NA,NA,article,1632096000,113549860,1.5.4,FALSE,Physical Geography And Environmental Geoscience,Human Geography,era,era,15,11,11,1685022939,6.35,0.25,0.25,0.25,0,0,0,0,0,0,0,0,6.35,http://dx.doi.org/10.1111/geoj.12410,1631800906,1632096000,Physical Sciences,Social Sciences,0,55,0,55,https://badges.altmetric.com/?size=64&score=7&types=tttttttt,https://badges.altmetric.com/?size=100&score=7&types=tttttttt,https://badges.altmetric.com/?size=180&score=7&types=tttttttt,https://www.altmetric.com/details.php?citation_id=113549860,0016-7398,1475-4959,1685577600,NA,NA,NA,Earth and Planetary Sciences,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-20T00:00:00Z,2021
A network approach to analyse Australia’s blue economy policy and legislative arrangements,10.1016/j.marpol.2023.105588,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,3,23511526,10.3591179280478,5674218,75,17823507,3374,14.0144042679312,1364,59,2002,111964,9.87553674395354,25826,78,87807,51,13.5539215686274,17,66,34,Miguel Frohlich,Pedro Fidelman,Ian Dutton,Marcus Haward,Brian W. Head,Dianne Maynard,article,NA,144511032,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,9,9,9,1680474806,5.7,5.7,5.7,0,0,0,0,0,0,0,0,0,5.7,http://dx.doi.org/10.1016/j.marpol.2023.105588,1679973782,1682899200,Life Sciences,Social Sciences,0,23,0,23,https://badges.altmetric.com/?size=64&score=6&types=tttttttt,https://badges.altmetric.com/?size=100&score=6&types=tttttttt,https://badges.altmetric.com/?size=180&score=6&types=tttttttt,https://www.altmetric.com/details.php?citation_id=144511032,NA,NA,1682899200,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",5,Law,era,NA,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Rissik,Joanna Vince,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-01T00:00:00Z,2023
